sample_order,score,file
0,-500.0,funsearch_qwen_real_formal/samples/samples_0.json
2,-212.8,funsearch_qwen_real_formal/samples/samples_2.json
3,-212.0,funsearch_qwen_real_formal/samples/samples_3.json
4,-212.8,funsearch_qwen_real_formal/samples/samples_4.json
5,-212.0,funsearch_qwen_real_formal/samples/samples_5.json
6,-212.0,funsearch_qwen_real_formal/samples/samples_6.json
7,-212.0,funsearch_qwen_real_formal/samples/samples_7.json
8,-212.8,funsearch_qwen_real_formal/samples/samples_8.json
9,-212.8,funsearch_qwen_real_formal/samples/samples_9.json
10,-212.8,funsearch_qwen_real_formal/samples/samples_10.json
11,-212.8,funsearch_qwen_real_formal/samples/samples_11.json
12,-212.0,funsearch_qwen_real_formal/samples/samples_12.json
13,-212.0,funsearch_qwen_real_formal/samples/samples_13.json
14,-212.8,funsearch_qwen_real_formal/samples/samples_14.json
15,-212.0,funsearch_qwen_real_formal/samples/samples_15.json
16,-212.0,funsearch_qwen_real_formal/samples/samples_16.json
17,-212.0,funsearch_qwen_real_formal/samples/samples_17.json
18,-212.8,funsearch_qwen_real_formal/samples/samples_18.json
19,-212.0,funsearch_qwen_real_formal/samples/samples_19.json
20,-212.0,funsearch_qwen_real_formal/samples/samples_20.json
21,-212.0,funsearch_qwen_real_formal/samples/samples_21.json
22,-212.0,funsearch_qwen_real_formal/samples/samples_22.json
23,-212.0,funsearch_qwen_real_formal/samples/samples_23.json
24,-212.0,funsearch_qwen_real_formal/samples/samples_24.json
25,-212.0,funsearch_qwen_real_formal/samples/samples_25.json
26,-212.0,funsearch_qwen_real_formal/samples/samples_26.json
27,-212.0,funsearch_qwen_real_formal/samples/samples_27.json
28,-212.0,funsearch_qwen_real_formal/samples/samples_28.json
29,-212.0,funsearch_qwen_real_formal/samples/samples_29.json
30,-212.0,funsearch_qwen_real_formal/samples/samples_30.json
31,-212.0,funsearch_qwen_real_formal/samples/samples_31.json
32,-212.0,funsearch_qwen_real_formal/samples/samples_32.json
33,-212.0,funsearch_qwen_real_formal/samples/samples_33.json
34,-212.8,funsearch_qwen_real_formal/samples/samples_34.json
35,-212.0,funsearch_qwen_real_formal/samples/samples_35.json
36,-212.0,funsearch_qwen_real_formal/samples/samples_36.json
37,-212.0,funsearch_qwen_real_formal/samples/samples_37.json
38,-212.0,funsearch_qwen_real_formal/samples/samples_38.json
39,-212.0,funsearch_qwen_real_formal/samples/samples_39.json
40,-212.0,funsearch_qwen_real_formal/samples/samples_40.json
